bbg_ticker,Generic_Ticker,Contract_Size,Category,Currency
AUAQ6C 71.5 Curncy,AUA1 Curncy,100000.0,Currency,USD
HIM6 Index,HI1 Index,50.0,Equity Index,HKD
C N6C 600 Comdty,C 1 Comdty,5000.0,Agriculture,USD
C N6 Comdty,C 1 Comdty,5000.0,Agriculture,USD
PFRX6 Comdty,PFR1 Comdty,100.0,Chemicals,USD
SBN6 Comdty,SB1 Comdty,112000.0,Agriculture,USD
COQ6C 110 Comdty,CO1 Comdty,1000.0,Energy,USD
PLN6 Comdty,PL1 Comdty,50.0,Precious Metal,USD
CJPU26 Comdty,CJP1 Comdty,1000.0,Energy,USD
UXM6 Index,UX1 Index,1000.0,Equity Index,USD
LMAHDP 20260917 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
RTYM6 Index,RTY1 Index,50.0,Equity Index,USD
HWBM6 Index,HWB1 Index,2.0,Equity Index,USD
CTN6 Comdty,CT1 Comdty,50000.0,Agriculture,USD
W N6 Comdty,W 1 Comdty,5000.0,Agriculture,USD
LMNIDP 20260915 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMNIDP 20260617 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMZSDP 20260915 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
LMNIDP 20260911 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMAHDP 20260915 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMAHDP 20260731 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
HIM6C 27400 Index,HI1 Index,50.0,Equity Index,HKD
LMAHDP 20260911 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
NXU6 Index,NX1 Index,5.0,Equity Index,USD
HWAM6 Index,HWA1 Index,5.0,Equity Index,USD
XIDM6 Curncy,XID1 Curncy,2000000.0,Currency,USD
SIN6 Comdty,SI1 Comdty,5000.0,Precious Metal,USD
LMAHDP 20260910 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMNIDP 20260910 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMZSDP 20260910 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
NQM6P 29400 Index,NQ1 Index,20.0,Equity Index,USD
GCN6C 4600 Comdty,GC1 Comdty,100.0,Precious Metal,USD
HGN6 Comdty,HG1 Comdty,25000.0,Base Metal,USD
GCQ6 Comdty,GC1 Comdty,100.0,Precious Metal,USD
LMAHDP 20260909 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
LMNIDP 20260909 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMNIDP 20260908 Comdty,LMNIDY Comdty,6.0,Base Metal,USD
LMZSDP 20260908 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
AUAN6C 72 Curncy,AUA1 Curncy,100000.0,Currency,USD
RSN6 Comdty,RS1 Comdty,20.0,Agriculture,CAD
XUCM6 Curncy,XUC1 Curncy,100000.0,Currency,CNH
ECM6 Curncy,EC1 Curncy,125000.0,Currency,USD
LMAHDP 20260904 Comdty,LMAHDY Comdty,25.0,Base Metal,USD
DFN6 Comdty,DF1 Comdty,10.0,Agriculture,USD
HGN6P 625 Comdty,HG1 Comdty,25000.0,Base Metal,USD
DXM6 Curncy,DX1 Curncy,1000.0,Currency,USD
LMSNDP 20260617 Comdty,LMSNDY Comdty,5.0,Base Metal,USD
JADM6C 64 Curncy,JAD1 Curncy,12500000.0,Currency,USD
JADM6C 64.5 Curncy,JAD1 Curncy,12500000.0,Currency,USD
PFRZ6 Comdty,PFR1 Comdty,100.0,Chemicals,USD
PFRV6 Comdty,PFR1 Comdty,100.0,Chemicals,USD
NQM6 Index,NQ1 Index,20.0,Equity Index,USD
LMSNDP 20260715 Comdty,LMSNDY Comdty,5.0,Base Metal,USD
HON6 Comdty,HO1 Comdty,42000.0,Energy,USD
XBN6 Comdty,XB1 Comdty,42000.0,Energy,USD
ZZBK6 Comdty,ZZB1 Comdty,100.0,Chemicals,USD
CJPK26 Comdty,CJP1 Comdty,1000.0,Energy,USD
IACK6 Comdty,IAC1 Comdty,100.0,Ferrous,USD
SCOK6P 95 Comdty,SCO1 Comdty,100.0,Ferrous,USD
SCOK6C 120 Comdty,SCO1 Comdty,100.0,Ferrous,USD
CQDM26 Comdty,CQD1 Comdty,1000.0,Energy,USD
PFRK6 Comdty,PFR1 Comdty,100.0,Chemicals,USD
SCOK6 Comdty,SCO1 Comdty,100.0,Ferrous,USD
LMZSDP 20260828 Comdty,LMZSDY Comdty,25.0,Base Metal,USD
DATU6 Comdty,DAT1 Comdty,1000.0,Energy,USD
AULU26 Comdty,AUL1 Comdty,1000.0,Energy,USD
HCTK6 Index,HCT1 Index,50.0,Equity Index,HKD
CON6 Comdty,CO1 Comdty,1000.0,Energy,USD
QSQ6 Comdty,QS1 Comdty,100.0,Energy,USD
GCN6C 4800 Comdty,GC1 Comdty,100.0,Precious Metal,USD
AUAM6C 70.5 Curncy,AUA1 Curncy,100000.0,Currency,USD
